R100_2.fq.gz	IPa10-L-T5_2.fq.gz
R101_2.fq.gz	IPa06-M-T5_2.fq.gz
R102_2.fq.gz	IPa07-M-T5_2.fq.gz
R10_2.fq.gz	IPa10-C-T0_2.fq.gz
R103_2.fq.gz	IPa08-M-T5_2.fq.gz
R104_2.fq.gz	IPa09-M-T5_2.fq.gz
R105_2.fq.gz	IPa10-M-T5_2.fq.gz
R106_2.fq.gz	IPa06-H-T5_2.fq.gz
R107_2.fq.gz	IPa07-H-T5_2.fq.gz
R108_2.fq.gz	IPa08-H-T5_2.fq.gz
R109_2.fq.gz	IPa09-H-T5_2.fq.gz
R110_2.fq.gz	IPa10-H-T5_2.fq.gz
R11_2.fq.gz	IPa06-C-T1_2.fq.gz
R12_2.fq.gz	IPa07-C-T1_2.fq.gz
R1_2.fq.gz	IPa06-C-TF_2.fq.gz
R13_2.fq.gz	IPa08-C-T1_2.fq.gz
R14_2.fq.gz	IPa09-C-T1_2.fq.gz
R15_2.fq.gz	IPa10-C-T1_2.fq.gz
R16_2.fq.gz	IPa06-L-T1_2.fq.gz
R17_2.fq.gz	IPa07-L-T1_2.fq.gz
R18_2.fq.gz	IPa08-L-T1_2.fq.gz
R19_2.fq.gz	IPa09-L-T1_2.fq.gz
R20_2.fq.gz	IPa10-L-T1_2.fq.gz
R21_2.fq.gz	IPa06-M-T1_2.fq.gz
R22_2.fq.gz	IPa07-M-T1_2.fq.gz
R2_2.fq.gz	IPa07-C-TF_2.fq.gz
R23_2.fq.gz	IPa08-M-T1_2.fq.gz
R24_2.fq.gz	IPa09-M-T1_2.fq.gz
R25_2.fq.gz	IPa10-M-T1_2.fq.gz
R26_2.fq.gz	IPa06-H-T1_2.fq.gz
R272_2.fq.gz	OPa-01-C-TF_2.fq.gz
R27_2.fq.gz	IPa07-H-T1_2.fq.gz
R273_2.fq.gz	OPa-02-C-TF_2.fq.gz
R274_2.fq.gz	OPa-03-C-TF_2.fq.gz
R275_2.fq.gz	OPa-04-C-TF_2.fq.gz
R276_2.fq.gz	OPa-05-C-TF_2.fq.gz
R277_2.fq.gz	OPa-01-C-T0_2.fq.gz
R278_2.fq.gz	OPa-02-C-T0_2.fq.gz
R279_2.fq.gz	OPa-03-C-T0_2.fq.gz
R280_2.fq.gz	OPa-04-C-T0_2.fq.gz
R281_2.fq.gz	OPa-05-C-T0_2.fq.gz
R282_2.fq.gz	OPa-01-C-T1_2.fq.gz
R28_2.fq.gz	IPa08-H-T1_2.fq.gz
R283r_2.fq.gz	OPa-02-C-T1_2.fq.gz
R284_2.fq.gz	OPa-03-C-T1_2.fq.gz
R285_2.fq.gz	OPa-04-C-T1_2.fq.gz
R286r_2.fq.gz	OPa-05-C-T1_2.fq.gz
R287_2.fq.gz	OPa-01-L-T1_2.fq.gz
R288_2.fq.gz	OPa-02-L-T1_2.fq.gz
R289_2.fq.gz	OPa-03-L-T1_2.fq.gz
R290_2.fq.gz	OPa-04-L-T1_2.fq.gz
R291_2.fq.gz	OPa-05-L-T1_2.fq.gz
R292_2.fq.gz	OPa-01-M-T1_2.fq.gz
R29_2.fq.gz	IPa09-H-T1_2.fq.gz
R293_2.fq.gz	OPa-02-M-T1_2.fq.gz
R294_2.fq.gz	OPa-03-M-T1_2.fq.gz
R295_2.fq.gz	OPa-04-M-T1_2.fq.gz
R297_2.fq.gz	OPa-01-H-T1_2.fq.gz
R298_2.fq.gz	OPa-02-H-T1_2.fq.gz
R299_2.fq.gz	OPa-03-H-T1_2.fq.gz
R300_2.fq.gz	OPa-04-H-T1_2.fq.gz
R301_2.fq.gz	OPa-05-H-T1_2.fq.gz
R302_2.fq.gz	OPa-01-C-T2_2.fq.gz
R30_2.fq.gz	IPa10-H-T1_2.fq.gz
R303_2.fq.gz	OPa-02-C-T2_2.fq.gz
R304_2.fq.gz	OPa-03-C-T2_2.fq.gz
R305_2.fq.gz	OPa-04-C-T2_2.fq.gz
R306_2.fq.gz	OPa-05-C-T2_2.fq.gz
R307_2.fq.gz	OPa-01-L-T2_2.fq.gz
R308_2.fq.gz	OPa-02-L-T2_2.fq.gz
R309_2.fq.gz	OPa-03-L-T2_2.fq.gz
R310_2.fq.gz	OPa-04-L-T2_2.fq.gz
R311_2.fq.gz	OPa-05-L-T2_2.fq.gz
R312_2.fq.gz	OPa-01-M-T2_2.fq.gz
R31_2.fq.gz	IPa06-C-T2_2.fq.gz
